Repo,Pull Request,Status,Description,Timestamp,URL
konflux-ci/e2e-tests,1119,closed,fix: added channel to handle concurrency bug,"2024-06-21T08:19:22Z
",https://github.com/konflux-ci/e2e-tests/pull/1119
bytedance/nxt_unit,19,open,BUGFIX: Fixed Regex for `getPackRelativePath` method,"2024-03-07T10:31:41Z
",https://github.com/bytedance/nxt_unit/pull/19
kubernetes/kubernetes,123748,closed,Removed Useless `AddFlags` statements from options.go,"2024-08-09T22:20:54Z
",https://github.com/kubernetes/kubernetes/pull/123748
siderolabs/talos,8231,merged,chore: fix channel blocking on qemu launch,"2024-02-02T15:29:43Z
",https://github.com/siderolabs/talos/pull/8231
siderolabs/talos,8230,closed,BUGFIX: Added cancel method to fix context leak,"2024-02-01T10:17:01Z
",https://github.com/siderolabs/talos/pull/8230
pipe-cd/pipecd,4767,merged,BUGFIX: Added cancel method to fix context leak,"2024-02-15T13:59:03Z
",https://github.com/pipe-cd/pipecd/pull/4767
kubeflow/spark-operator,1917,merged,BUGFIX: Added cancel method to fix context leak,"2024-04-06T17:34:25Z
",https://github.com/kubeflow/spark-operator/pull/1917
dapr/dapr,7381,merged,BugFix: Fixed Concurrency Issue in file `pkg/actors/actors.go`,"2024-01-15T14:02:49Z
",https://github.com/dapr/dapr/pull/7381
bytedance/Elkeid,571,open,BugFix: Fixed Improper Method Calls,"2024-01-12T06:21:44Z
",https://github.com/bytedance/Elkeid/pull/571
bytedance/go-tagexpr,78,closed,BugFix: Fixed Inappropriate Logical Expression,"2024-01-12T09:38:40Z
",https://github.com/bytedance/go-tagexpr/pull/78
bytedance/go-tagexpr,77,open,BugFix: Fixed Unsafe Zip Deserialization,"2024-01-10T10:57:36Z
",https://github.com/bytedance/go-tagexpr/pull/77
bytedance/nxt_unit,18,open,Fixed Concurrency Issue: channel communication of `RetryDo`,"2024-01-03T07:26:15Z
",https://github.com/bytedance/nxt_unit/pull/18
bytedance/nxt_unit,17,open,Fixed Inappropriate Logical Expression,"2024-01-03T06:07:11Z
",https://github.com/bytedance/nxt_unit/pull/17
