Author,Status,Title,Created On,URL
fazledyn,merged,bugfix: Replaced inappropriate `is` comparison with `==`,2024-10-01,https://github.com/The-OpenROAD-Project/OpenLane/pull/2157
fazledyn,open,bugfix: Fixed inappropriate comparison using `is`,2024-10-01,https://github.com/facebookresearch/CrypTen/pull/516
fazledyn,merged,Bugfix: Closed opened files as a coding standard,2024-09-30,https://github.com/wagtail/wagtail/pull/12374
fazledyn,open,BUGFIX: Fixed A File Descriptor Leak Related Bug,2024-07-14,https://github.com/csurfer/pyheatmagic/pull/9
fazledyn,merged,BUG: prevent file descriptor leak in `openblas_support.py` script,2024-03-15,https://github.com/scipy/scipy/pull/20257
fazledyn-or,open,BUGFIX: Fixed Regex for `getPackRelativePath` method,2024-03-07,https://github.com/bytedance/nxt_unit/pull/19
fazledyn-or,merged,chore: fix channel blocking on qemu launch,2024-02-01,https://github.com/siderolabs/talos/pull/8231
fazledyn-or,merged,BUGFIX: Added cancel method to fix context leak,2024-01-31,https://github.com/pipe-cd/pipecd/pull/4767
fazledyn-or,merged,BUGFIX: Added cancel method to fix context leak,2024-01-31,https://github.com/kubeflow/spark-operator/pull/1917
fazledyn-or,merged,BugFix: Fixed Concurrency Issue in file `pkg/actors/actors.go`,2024-01-15,https://github.com/dapr/dapr/pull/7381
fazledyn-or,open,BugFix: Fixed Improper Method Calls,2024-01-12,https://github.com/bytedance/Elkeid/pull/571
fazledyn-or,open,BugFix: Fixed Unsafe Zip Deserialization,2024-01-10,https://github.com/bytedance/go-tagexpr/pull/77
fazledyn-or,open,Fixed Concurrency Issue: channel communication of `RetryDo`,2024-01-03,https://github.com/bytedance/nxt_unit/pull/18
fazledyn-or,open,Fixed Inappropriate Logical Expression,2024-01-03,https://github.com/bytedance/nxt_unit/pull/17
fazledyn-or,merged,Fixed Inappropriate Logical Expression (AIV-672),2023-12-28,https://github.com/espressif/esp-dl/pull/150
fazledyn-or,merged,[BugFix] Fixed Inappropriate Logical Expression,2023-12-22,https://github.com/apache/tvm/pull/16272
fazledyn-or,merged,Fixed Inappropriate Logical Expression,2023-12-22,https://github.com/Mathics3/mathics-core/pull/954
fazledyn-or,merged,Use better API for string comparison,2023-12-21,https://github.com/kubernetes/kube-openapi/pull/441
fazledyn-or,merged,Fixed Concurrency Issue: channel communication of kinder,2023-12-21,https://github.com/kubernetes/kubeadm/pull/2983
fazledyn-or,merged,Fixed Inappropriate Logical Expression,2023-12-14,https://github.com/kubernetes/kubernetes/pull/122315
fazledyn-or,merged,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-12-13,https://github.com/Nuitka/Nuitka/pull/2607
fazledyn-or,merged,Fixed Improper Method Call: Replaced `mktemp`,2023-12-13,https://github.com/Nuitka/Nuitka/pull/2605
fazledyn-or,merged,Fixed Sensitive Data Exposure at `/tmp` directory,2023-12-12,https://github.com/rhinstaller/anaconda/pull/5375
fazledyn-or,open,Fixed Sensitive Data Exposure: Reset `umask`,2023-12-12,https://github.com/Alignak-monitoring/alignak/pull/1133
fazledyn-or,merged,Fixed Improper Method Call: `__str__`,2023-12-12,https://github.com/RedHatInsights/insights-core/pull/3975
fazledyn-or,merged,v.civil: Fixed Improper Method Call: `__setitem__`,2023-12-11,https://github.com/OSGeo/grass-addons/pull/993
fazledyn-or,open,Fixed Inappropriate Logical Expression,2023-12-11,https://github.com/aio-libs/aiohttp/pull/7956
fazledyn-or,merged,Fixed Inappropriate Logical Expression,2023-12-11,https://github.com/PaddlePaddle/Paddle/pull/59886
fazledyn-or,merged,Fixed Inappropriate Logical Expression,2023-12-11,https://github.com/cve-search/cve-search/pull/1031
fazledyn-or,merged,Fixed Inappropriate Logical Expression,2023-12-08,https://github.com/diyhue/diyHue/pull/974
fazledyn-or,open,Fixed Inappropriate Logical Expression,2023-12-08,https://github.com/WheatonCS/Lexos/pull/1072
fazledyn-or,open,Fixed Inappropriate Logical Expression,2023-12-08,https://github.com/modmail-dev/Modmail/pull/3321
fazledyn-or,merged,fix: Fixed Inappropriate Logical Expression,2023-12-08,https://github.com/Open-MSS/MSS/pull/2113
fazledyn-or,merged,Fixed Inappropriate Logical Expression,2023-12-08,https://github.com/holoviz/panel/pull/6012
fazledyn-or,merged,Fixed Inappropriate Logical Expression,2023-12-07,https://github.com/Nandaka/PixivUtil2/pull/1315
fazledyn-or,open,Fixed Inappropriate Logical Expression,2023-12-07,https://github.com/PokemonGoF/PokemonGo-Bot/pull/6320
fazledyn-or,merged,Fixed Inappropriate Logical Expression,2023-12-07,https://github.com/TheAlgorithms/Python/pull/11203
fazledyn-or,merged,Fixed Inappropriate Logical Expression,2023-12-07,https://github.com/spack/spack/pull/41482
fazledyn-or,merged,Fixed Inappropriate Logical Expression,2023-12-07,https://github.com/ME-ICA/tedana/pull/1012
fazledyn-or,merged,Fixed Improper Method Call: Replaced `mktemp`,2023-12-06,https://github.com/celery/kombu/pull/1828
fazledyn-or,open,Fixed Improper Method Call: `__enter__` and `__exit__`,2023-12-06,https://github.com/gramps-project/gramps/pull/1623
fazledyn-or,merged,Fixed Improper Method Call: `__getitem__`,2023-12-06,https://github.com/bumps/bumps/pull/131
fazledyn-or,open,Fixed Improper Method Call: `__neg__`,2023-12-05,https://github.com/PyMVPA/PyMVPA/pull/635
fazledyn-or,open,Fixed Improper Method Call: Replaced `mktemp`,2023-12-05,https://github.com/PyMVPA/PyMVPA/pull/634
fazledyn-or,merged,fix: replaced raise `NotImplementedError` with return `NotImplemented`,2023-12-05,https://github.com/googleapis/python-bigquery-dataframes/pull/258
fazledyn-or,open,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-12-05,https://github.com/Qiskit/qiskit/pull/11371
fazledyn-or,merged,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-12-05,https://github.com/SCons/scons/pull/4448
fazledyn-or,open,Fixed Improper Method Call: Replaced `mktemp`,2023-12-05,https://github.com/radio-astro-tools/spectral-cube/pull/895
fazledyn-or,open,Fixed Improper Method Call: Updated `__exit__`,2023-12-04,https://github.com/isard-vdi/isard/pull/449
fazledyn-or,merged,Fixed Improper Method Call: Replaced `mktemp`,2023-12-04,https://github.com/imageio/imageio/pull/1055
fazledyn-or,open,Fixed Improper Method Call: Replaced `mktemp` ,2023-12-04,https://github.com/openedx/edx-platform/pull/33874
fazledyn-or,open,Introduced Safer FTP Alternative: Added `FTP_TLS`,2023-11-21,https://github.com/Parsl/parsl/pull/2969
fazledyn-or,open,Introduced Safer FTP Alternative: Added `FTP_TLS`,2023-11-21,https://github.com/motioneye-project/motioneye/pull/2877
fazledyn-or,open,Introduced Safer FTP Alternative: Added `FTP_TLS`,2023-11-21,https://github.com/mlflow/mlflow/pull/10469
fazledyn-or,open,Introduced Safer FTP Alternative: Added `FTP_TLS`,2023-11-20,https://github.com/GeotrekCE/Geotrek-admin/pull/3837
fazledyn-or,open,Introduced Safer SMTP Alternative: Added `SMTP_SSL`,2023-11-20,https://github.com/facebookresearch/Detectron/pull/1048
fazledyn-or,merged,Introduced Safer FTP Alternative: Added `FTP_TLS`,2023-11-20,https://github.com/conan-io/conan/pull/15137
fazledyn-or,open,Introduced Safer SMTP Alternative: Added `SMTP_SSL`,2023-11-20,https://github.com/mediacloud/backend/pull/846
fazledyn-or,open,Introduced Safer SMTP Alternative: Added `SMTP_SSL`,2023-11-20,https://github.com/autotest/autotest/pull/1083
fazledyn-or,open,Introduced Safer SMTP Alternative: Added `SMTP_SSL`,2023-11-20,https://github.com/arskom/spyne/pull/702
fazledyn-or,open,Fixed Inappropriate Logic: Removed logical short circuit,2023-11-17,https://github.com/ros-infrastructure/bloom/pull/711
fazledyn-or,open,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-11-16,https://github.com/sympy/sympy/pull/25907
fazledyn-or,merged,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-11-16,https://github.com/wntrblm/nox/pull/749
fazledyn-or,merged,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-11-16,https://github.com/phoebe-project/phoebe2/pull/795
fazledyn-or,merged,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-11-16,https://github.com/tomerfiliba/plumbum/pull/667
fazledyn-or,merged,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-11-16,https://github.com/osm-fr/osmose-backend/pull/2071
fazledyn-or,open,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-11-14,https://github.com/ParmEd/ParmEd/pull/1330
fazledyn-or,open,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-11-14,https://github.com/getpelican/pelican-plugins/pull/1394
fazledyn-or,merged,Fixed Improper Method Call: `__exit__()`,2023-11-14,https://github.com/PlasmaPy/PlasmaPy/pull/2402
fazledyn-or,merged,Fixed Improper Method Call: Replaced `mktemp`,2023-11-13,https://github.com/scylladb/scylla-cluster-tests/pull/6795
fazledyn-or,open,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-11-13,https://github.com/CenterForOpenScience/SHARE/pull/814
fazledyn-or,merged,Fix improper method call mktemp,2023-11-13,https://github.com/SpikeInterface/spikeinterface/pull/2195
fazledyn-or,merged,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-11-13,https://github.com/projecthamster/hamster/pull/737
fazledyn-or,open,Fixed Improper Method Call: Replaced `mktemp`,2023-11-13,https://github.com/gnowledge/gstudio/pull/2032
fazledyn-or,open,Fixed Improper Method Call: Replaced `NotImplementedError`,2023-11-13,https://github.com/google-parfait/tensorflow-federated/pull/4273
